Date,Open,High,Low,Close,Adj Close,Volume
2020-07-29,4.160000,4.160000,4.160000,4.160000,4.160000,0
2020-07-30,4.240000,4.240000,4.240000,4.240000,4.240000,0
2020-07-31,4.460000,4.460000,4.460000,4.460000,4.460000,0
2020-08-03,5.200000,5.200000,5.150000,5.150000,5.150000,500
2020-08-04,5.050000,5.050000,5.050000,5.050000,5.050000,0
2020-08-05,4.940000,5.050000,4.940000,5.050000,5.050000,500
2020-08-06,5.050000,5.050000,5.050000,5.050000,5.050000,0
2020-08-07,5.150000,5.150000,5.150000,5.150000,5.150000,0
2020-08-10,5.150000,5.150000,5.150000,5.150000,5.150000,0
2020-08-11,4.980000,4.980000,4.980000,4.980000,4.980000,0
2020-08-12,4.980000,4.980000,4.980000,4.980000,4.980000,0
2020-08-13,5.050000,5.050000,5.050000,5.050000,5.050000,0
2020-08-14,5.100000,5.100000,5.100000,5.100000,5.100000,0
2020-08-17,5.100000,5.100000,5.100000,5.100000,5.100000,0
2020-08-18,5.200000,5.350000,5.200000,5.350000,5.350000,93
2020-08-19,5.400000,5.400000,5.400000,5.400000,5.400000,0
2020-08-20,5.150000,5.150000,5.150000,5.150000,5.150000,0
2020-08-21,5.300000,5.300000,5.300000,5.300000,5.300000,0
2020-08-24,5.450000,5.450000,5.450000,5.450000,5.450000,0
2020-08-25,5.500000,5.500000,5.500000,5.500000,5.500000,0
2020-08-26,5.500000,5.500000,5.500000,5.500000,5.500000,0
2020-08-27,5.700000,5.700000,5.700000,5.700000,5.700000,100
2020-08-28,5.450000,5.450000,5.450000,5.450000,5.450000,0
2020-08-31,5.550000,5.650000,5.550000,5.650000,5.650000,792
2020-09-01,5.400000,5.400000,5.400000,5.400000,5.400000,0
2020-09-02,5.500000,5.500000,5.500000,5.500000,5.500000,0
2020-09-03,5.500000,5.500000,5.500000,5.500000,5.500000,0
2020-09-04,5.300000,5.300000,5.300000,5.300000,5.300000,0
2020-09-07,5.150000,5.150000,5.150000,5.150000,5.150000,0
2020-09-08,5.200000,5.200000,5.200000,5.200000,5.200000,0
2020-09-09,5.050000,5.050000,5.050000,5.050000,5.050000,0
2020-09-10,4.940000,5.100000,4.940000,5.100000,5.100000,1000
2020-09-11,5.100000,5.100000,5.100000,5.100000,5.100000,0
2020-09-14,5.200000,5.200000,5.200000,5.200000,5.200000,0
2020-09-15,5.200000,5.200000,5.200000,5.200000,5.200000,0
2020-09-16,5.300000,5.300000,5.300000,5.300000,5.300000,0
2020-09-17,5.400000,5.400000,5.400000,5.400000,5.400000,0
2020-09-18,null,null,null,null,null,null
2020-09-21,5.450000,5.450000,5.450000,5.450000,5.450000,0
2020-09-22,5.500000,5.500000,5.500000,5.500000,5.500000,0
2020-09-23,5.600000,5.600000,5.600000,5.600000,5.600000,0
2020-09-24,5.350000,5.350000,5.350000,5.350000,5.350000,0
2020-09-25,5.350000,5.350000,5.350000,5.350000,5.350000,0
2020-09-28,5.600000,5.600000,5.600000,5.600000,5.600000,0
2020-09-29,5.700000,5.800000,5.700000,5.800000,5.800000,150
2020-09-30,5.700000,5.750000,5.700000,5.750000,5.750000,1250
2020-10-01,5.600000,5.850000,5.600000,5.750000,5.750000,1105
2020-10-02,5.650000,5.800000,5.650000,5.800000,5.800000,240
2020-10-05,5.800000,5.950000,5.800000,5.950000,5.950000,280
2020-10-06,5.700000,5.700000,5.700000,5.700000,5.700000,0
2020-10-07,5.950000,5.950000,5.950000,5.950000,5.950000,0
2020-10-08,6.050000,6.150000,6.050000,6.150000,6.150000,100
2020-10-09,6.100000,6.100000,6.100000,6.100000,6.100000,0
2020-10-12,6.200000,6.350000,6.200000,6.350000,6.350000,150
2020-10-13,6.200000,6.200000,6.200000,6.200000,6.200000,0
2020-10-14,6.300000,6.450000,6.300000,6.450000,6.450000,175
2020-10-15,6.250000,6.250000,6.250000,6.250000,6.250000,1500
2020-10-16,6.100000,6.100000,6.100000,6.100000,6.100000,0
2020-10-19,6.150000,6.250000,6.150000,6.200000,6.200000,2050
2020-10-20,6.150000,6.150000,6.150000,6.150000,6.150000,0
2020-10-21,6.150000,6.150000,6.150000,6.150000,6.150000,120
2020-10-22,5.900000,5.900000,5.900000,5.900000,5.900000,0
2020-10-23,5.750000,5.750000,5.750000,5.750000,5.750000,500
2020-10-26,5.550000,5.550000,5.550000,5.550000,5.550000,0
2020-10-27,5.800000,5.950000,5.800000,5.950000,5.950000,16
2020-10-28,6.000000,6.000000,6.000000,6.000000,6.000000,0
2020-10-29,6.000000,6.000000,6.000000,6.000000,6.000000,0
2020-10-30,5.900000,5.900000,5.900000,5.900000,5.900000,0
2020-11-02,5.250000,5.250000,5.250000,5.250000,5.250000,0
2020-11-03,5.200000,5.200000,5.200000,5.200000,5.200000,0
2020-11-04,5.200000,5.200000,5.200000,5.200000,5.200000,0
